fuel_split,KM,LSBMSPackSOC_h6HSC6_init,VehSpdAvgNonDrvn_h1HSC1_mean,VehSpdAvgNonDrvn_h1HSC1_std,EPTAccelActuPosHSC1_mean,EPTAccelActuPosHSC1_std,ACComprActuPwrHSC1_mean,ACComprActuPwrHSC1_std,BrkPdlDrvrAppdPrs_h1HSC1_mean,BrkPdlDrvrAppdPrs_h1HSC1_std,StrgWhlAngHSC1_mean,StrgWhlAngHSC1_std,VSELongtAcc_h1HSC1_mean,VSELongtAcc_h1HSC1_std,predict
3526944,36.83573925,23.4,18.3252748066,11.3575939973,2.82797226372,1.66356736774,0.542346326726,0.0668672923272,327.691032349,159.892703351,10.5435792204,27.2613897097,-0.0113082595308,0.0455387071903,3647483.4435
842656,6.573573889,25.2,17.9585220571,11.2532867007,2.70621713507,1.50542217092,0.533726751336,0.0545280109837,263.970332023,81.9948814811,17.2161041557,24.8849541186,-0.00680025346193,0.0220416994502,556547.873852
868912,7.845567056,23.9,20.358969862,10.0373093089,3.07872086955,1.31216553726,0.527540912284,0.0432974859583,285.918524903,79.7177021946,11.6015199663,19.253980522,-0.00769732901115,0.0190047489497,598183.014474
629296,5.982913389,24.9,15.7354992296,10.0135959718,2.40790106275,1.25199924407,0.523750763095,0.0599260233005,251.505346877,83.5270322845,11.6600937251,25.658420979,-0.00475667181401,0.0241920825921,465825.144796
1282016,10.10784067,24.4,21.9270271108,12.2685437447,3.49173208479,1.96338538805,0.509423319565,0.0766181500364,274.911401564,102.174265794,11.7275591839,31.3519929535,-0.0254694430426,0.0770976929944,924393.50467
834400,6.673173722,23.8,17.6715732213,10.6116046577,2.70494821934,1.4457041637,0.532214429965,0.0528184156367,277.513896658,88.905523191,13.9969465307,23.427284947,-0.00631760486607,0.0198269050827,538344.097044
1005408,8.16647125,25.4,22.6091296293,11.2054294521,3.44805280239,1.57169834953,0.509008816461,0.0638477804411,277.129427697,78.0793701198,10.7762555552,21.3200674863,-0.0327111145532,0.0814746914984,593805.546557
709504,6.613012028,23.9,18.9515136556,10.1878423089,2.89881234711,1.34541415745,0.522600034646,0.0528492548594,271.972658899,82.0749080213,10.2899496507,22.0039152879,-0.00668653853167,0.0217310882135,478112.228299
1703936,14.15664561,23.9,20.7629244426,12.1904586168,3.29439262758,2.03510967868,0.52156643435,0.0868154204994,254.504554275,81.6047164098,17.024238377,28.5745792251,-0.0256316743495,0.0626298101762,1400924.30624
905088,8.162520806,26.6,19.2353618597,10.3925934209,2.92184765473,1.36376144529,0.514106453356,0.0562772650368,264.5482268,83.8324315715,6.95867610954,26.0957190367,-0.0155948658672,0.0506600628679,611633.846165
2509600,30.59136875,23.0,22.0217718881,16.0074206927,3.55976836844,2.36859689648,0.482929824031,0.113676594025,294.281176388,180.7120904,5.43104046818,25.420256097,-0.0134619102978,0.0815192278892,2692146.68009
2191920,30.59627444,26.4,21.2602120409,14.8992543329,3.25124055169,1.95564660015,0.495200255169,0.100298079138,305.063955283,158.778136561,2.68050557898,18.3598436925,-0.0244551459065,0.0644582913972,2556501.82706
3540352,34.65498647,23.1,25.8111864441,19.6876288121,3.86268043186,2.25223496177,0.431802953483,0.115009280439,287.299166432,304.795495698,3.9043553997,22.6026262145,-0.0153777701645,0.101169572308,2770554.85489
2076528,26.60044217,24.8,25.5783063387,16.923883754,3.53668146262,2.02816753468,0.483319831662,0.103261655912,269.235493344,143.435757626,3.47907580221,21.434790236,-0.0269915538039,0.0985458834492,2155658.1286
2098592,30.48004058,28.1,20.6347089696,14.4862970892,3.00482328961,1.85637773591,0.505680344548,0.0935560189034,336.005993177,202.62937228,5.05603048925,13.6937605759,-0.0222436989505,0.0579545681731,2451018.16531
2527360,31.75312436,24.7,29.7770330991,13.8905939697,5.05369751866,1.93775695952,0.40879978594,0.0967118237444,253.736071173,202.557034414,-7.13223295648,18.0283456414,-0.00586729242992,0.108213250066,2539186.98876
3042160,43.71014403,26.6,39.8700038736,22.8787502726,4.2896369914,2.30012341835,0.414704022884,0.113827386471,176.122480663,185.172971137,0.313862979049,25.7553923546,-0.0634700432565,0.159376823757,3668962.26923
3080576,41.98844814,26.1,41.4071019789,23.0305316696,3.98319954146,2.05749241008,0.421720091638,0.113585521684,161.937002644,155.307740256,2.8161187318,19.3229931892,-0.0890943238662,0.117157490141,3445981.36238
3400800,43.07685389,24.4,36.6591458856,22.9034490382,4.25728891562,2.39667622882,0.427104197045,0.118320540271,191.304528387,151.832411768,-0.163620907587,26.188999385,-0.0590931651396,0.16455925505,3676135.14831
2997216,41.39167778,24.5,41.5511411956,22.4299660886,4.28679506109,2.23358605109,0.413990033824,0.113457549471,171.792334271,157.796150455,-1.0610255153,19.6534257995,-0.0881669406527,0.115051582441,3382411.91119
3407472,41.33513803,24.2,38.6301131672,23.2987730839,4.27117474136,2.37833523739,0.418378698168,0.114872950616,179.238833535,174.729368499,0.31437533651,27.3400406791,-0.0745495617317,0.152195319798,3476599.44345
3007904,42.18480008,21.9,38.268311999,23.7794464829,3.80238431698,2.13329494555,0.431440240346,0.116143453525,173.063826771,153.259075384,3.77933795482,23.2063789046,-0.0832354540366,0.120431511587,3580244.94445
5901360,63.226635,23.3,26.4404167674,18.2350635552,3.49195013245,1.73496334081,0.472047502994,0.102488211441,288.270527848,247.153774266,8.44098245884,17.3816613774,-0.0351103793643,0.0768729010326,5871840.02335
736928,6.546155417,23.2,16.6473041558,10.8336790609,2.53145390345,1.45219656748,0.53296901839,0.0568107495679,259.51171768,83.6973127144,16.4589313396,25.8331584295,-0.00566501357031,0.0217698372438,595567.17877
1899024,44.63284881,82.0,42.95635763,31.9975946,9.162930972,14.06885719,0.075265072,0.091256644,356.621441,901.6922365,-2.094133191,53.29362688,-0.019791739,0.705275101,2346025.07355
3437376,46.08466364,31.6,20.9084741971,17.1550708989,2.70514447803,1.39715432615,0.52007644285,0.0747120111529,323.166934337,145.534642073,6.77203679835,13.1198102014,-0.0244855418773,0.0534536088296,4021401.38525
3433392,44.67237269,28.7,53.3785364242,14.4131600854,4.73247573145,2.10854422656,0.365025874654,0.0944911303056,138.960925538,178.189490038,-5.09677449405,14.9226548618,-0.107512873898,0.163944099269,3801004.1985
3375184,42.12234156,25.8,35.7143484004,20.8119309387,3.90253298326,2.04573984113,0.426457482132,0.0903407791284,205.585171857,241.770866099,-5.22690048504,41.2128838516,-0.063221059439,0.112574680071,3707586.5336
